"Time","%"
2025-07-08 21:38:34,41.5
2025-07-08 21:39:37,41.5
2025-07-08 21:39:37,41.5
2025-07-08 21:40:40,41.5
2025-07-08 21:40:40,41.5
2025-07-08 21:41:43,41.5
2025-07-08 21:41:43,41.5
2025-07-08 21:42:46,41.5
2025-07-08 21:42:46,41.5
2025-07-08 21:43:49,41.5
2025-07-08 21:44:52,41.5
2025-07-08 21:45:55,41.5
2025-07-08 21:45:55,41.5
2025-07-08 21:46:58,41.5
2025-07-08 21:46:58,41.5
2025-07-08 21:48:01,41.5
2025-07-08 21:48:01,41.5
2025-07-08 21:49:04,41.5
2025-07-08 21:49:04,41.5
2025-07-08 21:50:07,41.5
2025-07-08 21:50:07,41.5
2025-07-08 21:51:10,41.5
2025-07-08 21:51:10,41.5
2025-07-08 21:52:13,41.5
2025-07-08 21:52:13,41.5
2025-07-08 21:53:16,41.5
2025-07-08 21:54:19,41.5
2025-07-08 21:54:19,41.5
2025-07-08 21:55:22,41.5
2025-07-08 21:55:22,41.5
2025-07-08 21:56:25,41.5
2025-07-08 21:56:25,41.5
2025-07-08 21:57:28,41.5
2025-07-08 21:57:28,41.5
2025-07-08 21:58:31,41.5
2025-07-08 21:58:31,41.5
2025-07-08 21:59:34,41.5
2025-07-08 21:59:34,41.5
2025-07-08 22:00:37,41.5
2025-07-08 22:01:40,41.5
2025-07-08 22:01:40,41.5
2025-07-08 22:02:43,41.5
2025-07-08 22:02:43,41.5
2025-07-08 22:03:46,41.5
2025-07-08 22:03:46,41.5
2025-07-08 22:04:49,41.5
2025-07-08 22:04:49,41.5
2025-07-08 22:05:52,41.5
2025-07-08 22:05:52,41.5
2025-07-08 22:06:55,42
2025-07-08 22:06:55,42
2025-07-08 22:07:58,42
2025-07-08 22:07:58,42
2025-07-08 22:09:01,42
2025-07-08 22:09:01,42
2025-07-08 22:10:04,42
2025-07-08 22:10:04,42
2025-07-08 22:11:07,42
2025-07-08 22:11:07,42
2025-07-08 22:12:10,42
2025-07-08 22:12:10,42
2025-07-08 22:13:13,42
2025-07-08 22:13:13,42
2025-07-08 22:14:16,42
2025-07-08 22:14:16,42
2025-07-08 22:15:19,42
2025-07-08 22:15:19,42
2025-07-08 22:16:22,42
2025-07-08 22:16:22,42
2025-07-08 22:17:25,42
2025-07-08 22:17:25,42
2025-07-08 22:18:28,42
2025-07-08 22:18:28,42
2025-07-08 22:19:31,42
2025-07-08 22:19:31,42
2025-07-08 22:20:34,42
2025-07-08 22:20:34,42
2025-07-08 22:21:37,42
2025-07-08 22:22:40,42
2025-07-08 22:22:40,42
2025-07-08 22:23:43,42
2025-07-08 22:23:43,42
2025-07-08 22:24:46,42
2025-07-08 22:24:46,42
2025-07-08 22:25:49,42
2025-07-08 22:25:49,42
2025-07-08 22:26:52,42
2025-07-08 22:26:52,42
2025-07-08 22:27:55,42
2025-07-08 22:27:55,42
2025-07-08 22:28:58,42
2025-07-08 22:28:58,42
2025-07-08 22:30:01,42.5
2025-07-08 22:30:01,42.5
2025-07-08 22:31:04,42
2025-07-08 22:31:04,42
2025-07-08 22:32:07,42
2025-07-08 22:32:07,42
2025-07-08 22:33:10,42.5
2025-07-08 22:33:10,42.5
2025-07-08 22:34:13,42.5
2025-07-08 22:34:13,42.5
2025-07-08 22:35:16,42.5
2025-07-08 22:35:16,42.5
2025-07-08 22:36:19,42.5
2025-07-08 22:36:19,42.5
2025-07-08 22:37:22,42.5
2025-07-08 22:37:22,42.5
2025-07-08 22:38:25,42.5
2025-07-08 22:38:25,42.5
2025-07-08 22:39:28,42.5
2025-07-08 22:39:28,42.5
2025-07-08 22:40:31,42.5
2025-07-08 22:41:34,42.5
2025-07-08 22:41:34,42.5
2025-07-08 22:42:37,42.5
2025-07-08 22:42:37,42.5
2025-07-08 22:43:40,42.5
2025-07-08 22:43:40,42.5
2025-07-08 22:44:43,42.5
2025-07-08 22:44:43,42.5
2025-07-08 22:45:46,42.5
2025-07-08 22:45:46,42.5
2025-07-08 22:46:49,42.5
2025-07-08 22:46:49,42.5
2025-07-08 22:47:52,42.5
2025-07-08 22:47:52,42.5
2025-07-08 22:48:55,42.5
2025-07-08 22:48:55,42.5
2025-07-08 22:51:01,42.5
2025-07-08 22:51:01,42.5
2025-07-08 22:52:04,42.5
2025-07-08 22:52:04,42.5
2025-07-08 22:53:07,42.5
2025-07-08 22:53:07,42.5
2025-07-08 22:54:10,42.5
2025-07-08 22:54:10,42.5
2025-07-08 22:56:16,42.5
2025-07-08 22:56:16,42.5
2025-07-08 22:57:19,42.5
2025-07-08 22:57:19,42.5
2025-07-08 22:58:22,42.5
2025-07-08 22:58:22,42.5
2025-07-08 22:59:25,42.5
2025-07-08 22:59:25,42.5
2025-07-08 23:00:28,42.5
2025-07-08 23:01:31,42.5
2025-07-08 23:01:31,42.5
2025-07-08 23:02:34,42.5
2025-07-08 23:03:37,42.5
2025-07-08 23:03:37,42.5
2025-07-08 23:04:40,42.5
2025-07-08 23:04:40,42.5
2025-07-08 23:05:43,42.5
2025-07-08 23:05:43,42.5
2025-07-08 23:06:46,42.5
2025-07-08 23:06:46,42.5
2025-07-08 23:07:49,42.5
2025-07-08 23:07:49,42.5
2025-07-08 23:08:52,43
2025-07-08 23:08:52,43
2025-07-08 23:09:55,42.5
2025-07-08 23:09:55,42.5
2025-07-08 23:10:58,43
2025-07-08 23:10:58,43
2025-07-08 23:12:01,43
2025-07-08 23:12:01,43
2025-07-08 23:13:04,43
2025-07-08 23:14:07,43
2025-07-08 23:14:07,43
2025-07-08 23:15:10,43
2025-07-08 23:15:10,43
2025-07-08 23:16:13,43
2025-07-08 23:17:16,43
2025-07-08 23:17:16,43
2025-07-08 23:18:19,43
2025-07-08 23:18:19,43
2025-07-08 23:19:22,43
2025-07-08 23:20:25,43
2025-07-08 23:20:25,43
2025-07-08 23:21:28,43
2025-07-08 23:21:28,43
2025-07-08 23:22:31,43
2025-07-08 23:22:31,43
2025-07-08 23:23:34,43
2025-07-08 23:23:34,43
2025-07-08 23:24:37,43
2025-07-08 23:24:37,43
2025-07-08 23:25:40,43
2025-07-08 23:25:40,43
2025-07-08 23:26:43,43
2025-07-08 23:26:43,43
2025-07-08 23:27:46,43
2025-07-08 23:27:46,43
2025-07-08 23:28:49,43
